,FileName,ARCH,ASLR,DEP,Authenticode,StrongNaming,SafeSEH,ControlFlowGuard
296,C:\windows\SysWOW64\InstallShield\setupdir\0009\_setup.dll,I386,False,False,True,,False,False
297,C:\windows\SysWOW64\InstallShield\setupdir\000a\_setup.dll,I386,False,False,True,,False,False
298,C:\windows\SysWOW64\InstallShield\setupdir\000b\_setup.dll,I386,False,False,True,,False,False
299,C:\windows\SysWOW64\InstallShield\setupdir\000e\_setup.dll,I386,False,False,True,,False,False
300,C:\windows\SysWOW64\InstallShield\setupdir\0010\_setup.dll,I386,False,False,True,,False,False
301,C:\windows\SysWOW64\InstallShield\setupdir\0011\_setup.dll,I386,False,False,True,,False,False
302,C:\windows\SysWOW64\InstallShield\setupdir\0012\_setup.dll,I386,False,False,True,,False,False
303,C:\windows\SysWOW64\InstallShield\setupdir\0013\_setup.dll,I386,False,False,True,,False,False
304,C:\windows\SysWOW64\InstallShield\setupdir\0014\_setup.dll,I386,False,False,True,,False,False
305,C:\windows\SysWOW64\InstallShield\setupdir\0015\_setup.dll,I386,False,False,True,,False,False
306,C:\windows\SysWOW64\InstallShield\setupdir\0019\_setup.dll,I386,False,False,True,,False,False
307,C:\windows\SysWOW64\InstallShield\setupdir\001a\_setup.dll,I386,False,False,True,,False,False
308,C:\windows\SysWOW64\InstallShield\setupdir\001b\_setup.dll,I386,False,False,True,,False,False
309,C:\windows\SysWOW64\InstallShield\setupdir\001d\_setup.dll,I386,False,False,True,,False,False
310,C:\windows\SysWOW64\InstallShield\setupdir\001e\_setup.dll,I386,False,False,True,,False,False
311,C:\windows\SysWOW64\InstallShield\setupdir\001f\_setup.dll,I386,False,False,True,,False,False
312,C:\windows\SysWOW64\InstallShield\setupdir\0021\_setup.dll,I386,False,False,True,,False,False
313,C:\windows\SysWOW64\InstallShield\setupdir\0024\_setup.dll,I386,False,False,True,,False,False
314,C:\windows\SysWOW64\InstallShield\setupdir\002d\_setup.dll,I386,False,False,True,,False,False
315,C:\windows\SysWOW64\InstallShield\setupdir\0404\_setup.dll,I386,False,False,True,,False,False
